Time	f(number(86400)/count()) – Bitcoin
31.10.2013	409.478672985782
01.11.2013	415.38461538461536
02.11.2013	427.7227722772277
03.11.2013	450
04.11.2013	443.0769230769231
05.11.2013	496.55172413793105
06.11.2013	530.0613496932515
07.11.2013	600
08.11.2013	644.776119402985
09.11.2013	583.7837837837837
10.11.2013	505.2631578947368
11.11.2013	462.03208556149735
12.11.2013	429.85074626865674
13.11.2013	514.2857142857143
14.11.2013	472.1311475409836
15.11.2013	520.4819277108434
16.11.2013	445.36082474226805
17.11.2013	464.51612903225805
18.11.2013	553.8461538461538
19.11.2013	536.6459627329192
20.11.2013	526.829268292683
21.11.2013	576
22.11.2013	502.3255813953488
23.11.2013	508.2352941176471
24.11.2013	514.2857142857143
25.11.2013	499.4219653179191
26.11.2013	543.3962264150944
27.11.2013	499.4219653179191
28.11.2013	477.34806629834253
29.11.2013	499.4219653179191
30.11.2013	490.90909090909093
01.12.2013	443.0769230769231
02.12.2013	543.3962264150944
03.12.2013	432
04.12.2013	505.2631578947368
05.12.2013	508.2352941176471
06.12.2013	415.38461538461536
07.12.2013	443.0769230769231
08.12.2013	443.0769230769231
09.12.2013	490.90909090909093
10.12.2013	450
11.12.2013	523.6363636363636
12.12.2013	530.0613496932515
13.12.2013	496.55172413793105
14.12.2013	436.3636363636364
15.12.2013	488.135593220339
16.12.2013	429.85074626865674
17.12.2013	425.615763546798
18.12.2013	434.1708542713568
19.12.2013	382.3008849557522
20.12.2013	485.39325842696627
21.12.2013	536.6459627329192
22.12.2013	511.2426035502959
23.12.2013	505.2631578947368
24.12.2013	511.2426035502959
25.12.2013	533.3333333333334
26.12.2013	480
27.12.2013	469.5652173913044
28.12.2013	576
29.12.2013	514.2857142857143
30.12.2013	499.4219653179191
31.12.2013	469.5652173913044
01.01.2014	421.4634146341463
02.01.2014	644.776119402985
03.01.2014	536.6459627329192
04.01.2014	612.7659574468086
05.01.2014	447.6683937823834
06.01.2014	464.51612903225805
07.01.2014	488.135593220339
08.01.2014	447.6683937823834
09.01.2014	417.39130434782606
10.01.2014	462.03208556149735
11.01.2014	411.42857142857144
12.01.2014	417.39130434782606
13.01.2014	511.2426035502959
14.01.2014	533.3333333333334
15.01.2014	469.5652173913044
16.01.2014	467.02702702702703
17.01.2014	568.421052631579
18.01.2014	496.55172413793105
19.01.2014	511.2426035502959
20.01.2014	443.0769230769231
21.01.2014	520.4819277108434
22.01.2014	450
23.01.2014	488.135593220339
24.01.2014	457.14285714285717
25.01.2014	523.6363636363636
26.01.2014	568.421052631579
27.01.2014	496.55172413793105
28.01.2014	561.038961038961
29.01.2014	568.421052631579
30.01.2014	490.90909090909093
31.01.2014	469.5652173913044
01.02.2014	457.14285714285717
02.02.2014	464.51612903225805
03.02.2014	477.34806629834253
04.02.2014	502.3255813953488
05.02.2014	514.2857142857143
06.02.2014	474.72527472527474
07.02.2014	557.4193548387096
08.02.2014	474.72527472527474
09.02.2014	626.0869565217391
10.02.2014	553.8461538461538
11.02.2014	526.829268292683
12.02.2014	485.39325842696627
13.02.2014	485.39325842696627
14.02.2014	452.35602094240835
15.02.2014	462.03208556149735
16.02.2014	443.0769230769231
17.02.2014	557.4193548387096
18.02.2014	530.0613496932515
19.02.2014	432
20.02.2014	488.135593220339
21.02.2014	568.421052631579
22.02.2014	480
23.02.2014	514.2857142857143
24.02.2014	452.35602094240835
25.02.2014	536.6459627329192
26.02.2014	469.5652173913044
27.02.2014	459.5744680851064
28.02.2014	477.34806629834253
01.03.2014	600
02.03.2014	617.1428571428571
03.03.2014	583.7837837837837
04.03.2014	579.8657718120805
05.03.2014	553.8461538461538
06.03.2014	499.4219653179191
07.03.2014	520.4819277108434
08.03.2014	514.2857142857143
09.03.2014	482.6815642458101
10.03.2014	579.8657718120805
11.03.2014	514.2857142857143
12.03.2014	474.72527472527474
13.03.2014	533.3333333333334
14.03.2014	649.624060150376
15.03.2014	523.6363636363636
16.03.2014	505.2631578947368
