Time_l,Price (BTC/USD) – Bitcoin,sum(Transaction count – Blocks) – Bitcoin,avg(Block size (kB)) – Bitcoin,f(number(86400)/count()) – Bitcoin,avg(Fee – Transactions (USD)) – Bitcoin,t,v
05.06.2009,0.01,30,215.9,2880.0,0.0,1243728000,0
06.06.2009,0.01,28,215.28571428571428,3085.714285714286,0.0,1243814400,2
07.06.2009,0.01,16,215.9375,5400.0,0.0,1243900800,0
08.06.2009,0.01,82,215.76829268292684,1053.658536585366,0.0,1243987200,0
09.06.2009,0.01,91,215.8021978021978,949.4505494505496,0.0,1244073600,0
10.06.2009,0.01,82,215.9268292682927,1053.658536585366,0.0,1244160000,0
11.06.2009,0.01,89,215.96629213483143,970.7865168539324,0.0,1244246400,0
12.06.2009,0.01,86,215.86046511627907,1004.6511627906976,0.0,1244332800,0
13.06.2009,0.01,78,215.448717948718,1107.6923076923076,0.0,1244419200,0
14.06.2009,0.01,72,215.69444444444449,1200.0,0.0,1244505600,0
15.06.2009,0.01,84,215.95238095238096,1028.571428571429,0.0,1244592000,0
16.06.2009,0.01,71,215.7323943661972,1216.901408450704,0.0,1244678400,0
17.06.2009,0.01,79,215.6455696202532,1093.6708860759493,0.0,1244764800,0
18.06.2009,0.01,80,215.8125,1080.0,0.0,1244851200,0
19.06.2009,0.01,87,215.67816091954023,993.103448275862,0.0,1244937600,0
20.06.2009,0.01,78,215.7692307692308,1107.6923076923076,0.0,1245024000,0
21.06.2009,0.01,81,215.76543209876544,1066.6666666666667,0.0,1245110400,0
22.06.2009,0.01,77,306.38157894736844,1136.842105263158,0.0,1245196800,0
23.06.2009,0.01,76,215.56578947368425,1136.842105263158,0.0,1245283200,0
24.06.2009,0.01,97,221.57894736842104,909.4736842105264,0.0,1245369600,0
25.06.2009,0.01,69,249.75,1270.5882352941176,0.0,1245456000,0
26.06.2009,0.01,90,215.6,960.0,0.0,1245542400,0
27.06.2009,0.01,84,215.83333333333331,1028.571428571429,0.0,1245628800,61
28.06.2009,0.01,47,220.7391304347826,1878.2608695652173,0.0,1245715200,0
29.06.2009,0.01,84,218.72289156626505,1040.9638554216867,0.0,1245801600,5
30.06.2009,0.01,86,221.04705882352943,1016.470588235294,0.0,1245888000,21
01.07.2009,0.01,75,219.4324324324324,1167.5675675675675,0.0,1245974400,0
02.07.2009,0.01,84,218.6144578313253,1040.9638554216867,0.0,1246060800,0
03.07.2009,0.01,82,215.97560975609755,1053.658536585366,0.0,1246147200,2
04.07.2009,0.01,89,215.87640449438203,970.7865168539324,0.0,1246233600,2
05.07.2009,0.01,79,215.9873417721519,1093.6708860759493,0.0,1246320000,4
