"Date","active_addr","avg.Block.size..kB.....Ethereum","Price..ETH.USD....Ethereum","f.number.86400..count......Ethereum","sum.Transaction.count...Blocks....Ethereum","avg.Fee...Transactions..USD.....Ethereum"
2015-11-09,2060,785.936305732484,1.025,17.1974522292994,7689,0.000885985478747542
2015-11-10,1822,833.809420146448,1.0102493,17.0987532159113,8151,0.00114418638409058
2015-11-11,2033,1044.14797136038,0.9507484,17.1837708830549,10217,0.0013736439455697
2015-11-12,1805,874.056310297303,0.77734196,17.0112226816302,9534,0.00130653991898602
2015-11-13,1804,807.736471967181,0.90000004,16.8782965422934,7891,0.000935987144839676
2015-11-14,1794,937.519602106495,0.89,16.8519602106495,7211,0.0012464868592445
2015-11-15,1758,797.409624639076,0.908,16.6313763233879,7170,0.000830597245861055
2015-11-16,1864,782.023814248859,0.91,17.1462591784084,7442,0.000729928013478328
2015-11-17,1901,762.22893666473,0.9333501,16.7344567112144,7145,0.000708695313109257
2015-11-18,1859,773.781871921182,1.0010098,17.0246305418719,7373,0.00082295740898199
2015-11-19,1862,881.903154510749,0.9809995,17.3598553345389,8876,0.0010733337995664
2015-11-20,1763,814.180893878416,0.975,18.3012073713196,6348,0.00100604079497908
2015-11-21,1710,831.780734856008,0.93,17.1598808341609,6822,0.000864443358579689
2015-11-22,2015,815.507625272331,0.97999984,17.1122994652406,7083,0.000858994519895163
2015-11-23,1738,862.723914325015,0.9594981,16.9777952446453,8260,0.000919534412955466
2015-11-24,1820,828.424115176965,0.96638894,17.2765446910618,7152,0.000984141805808341
2015-11-25,1709,806.982793522267,0.9016,17.4898785425101,7098,0.000875923852183651
2015-11-26,1804,784.113967611336,0.90999997,17.4898785425101,7278,0.000677912468513854
2015-11-27,1660,789.857943563974,0.8660622,16.6988790104368,6639,0.00065685924965562
2015-11-28,1651,773.887579872204,0.8657,17.2523961661342,6817,0.00101514198128429
2015-11-29,1666,776.257425742574,0.89815587,17.1089108910891,6853,0.000635525576166386
2015-11-30,1782,863.696456692913,0.8888957,17.007874015748,8986,0.00125848991907832
2015-12-01,1762,847.262701851123,0.870001,17.0145726664041,6794,0.000909414696896607
2015-12-02,1673,819.216210613599,0.88132346,17.910447761194,6502,0.000842402976240805
2015-12-03,1755,778.217483189241,0.84000003,16.5994236311239,6971,0.000717257924958704
2015-12-04,1741,803.623402555911,0.8465975,17.2523961661342,6898,0.000857189171664776
2015-12-05,1713,835.366959648422,0.83000004,17.2592888533759,6784,0.000892222586461236
2015-12-06,2001,876.782006920415,0.84764284,17.5859963362508,9103,0.00101259243900753
2015-12-07,1952,774.72057936029,0.84000003,17.3808086904043,7141,0.000655636652122174
2015-12-08,1753,771.015475463246,0.8046,17.5931582162492,6697,0.00059163353214049
2015-12-09,1747,778.872887864823,0.8,16.5898617511521,7001,0.000618577784716259
2015-12-10,1778,820.141524105754,0.7853,16.796267496112,7444,0.000674906166219839
2015-12-11,1784,884.33998419597,0.84100014,17.0683524298696,8105,0.00105315321929374
2015-12-12,2152,916.288219070134,0.9,17.0212765957447,8205,0.00149559816953585
2015-12-13,1960,844.632765151515,0.93847823,16.3636363636364,7426,0.00134911865700114
2015-12-14,2177,1752.09641928386,0.97749,17.2834566913383,15550,0.00347879927632832
2015-12-15,2164,1834.34003944773,1,17.0414201183432,21098,0.00429526171419983
2015-12-16,2150,1215.56001605781,0.99662375,17.3424327579285,10304,0.00280839227681132
2015-12-17,2402,1053.07193675889,0.97613543,17.0750988142292,9612,0.00208813278558177
2015-12-18,2184,1057.0390438247,0.9307421,17.2111553784861,9032,0.00207766486934882
2015-12-19,2187,1009.20305676856,0.91,17.1496625645097,9314,0.00176479360130143
2015-12-20,2207,1103.41439256115,0.92,17.4651303820497,9879,0.00208700975577817
2015-12-21,2312,1171.58822347267,0.8942204,17.3633440514469,12063,0.00199034771151973
2015-12-22,2311,2045.15129654903,0.8783808,16.8453889647105,21027,0.00195300240493011
2015-12-23,2215,1543.80575117371,0.87732595,16.9014084507042,22740,0.00251752999294284
2015-12-24,2234,1292.06935033878,0.84261394,17.2180151454763,13494,0.00204207246223724
2015-12-25,2158,1041.75078740157,0.8555426,17.007874015748,9521,0.00152339032861341
2015-12-26,2282,1073.80595523581,0.89470404,17.2661870503597,10726,0.00171990703439727
2015-12-27,2214,1575.28636907134,0.855,17.2180151454763,21867,0.00270966255986546
2015-12-28,2422,1238.88860460539,0.8588087,17.0045266679787,12368,0.00174568425760286
2015-12-29,2392,1199.67556715519,0.86125803,17.345914475005,11358,0.0017002380668968
2015-12-30,2360,1563.90473349244,0.89,17.1837708830549,21767,0.00248653316185927
2015-12-31,2578,1057.33611111111,0.935113,17.1428571428571,10301,0.00149412286257125
2016-01-01,2350,884.598157625384,0.9145,17.6867963152508,8233,0.00107685212514758
2016-01-02,2410,953.560353287537,0.95699966,16.9578017664377,9164,0.00125322405852073
2016-01-03,2454,955.046162835995,0.9569946,16.8289832489287,9258,0.00124564037262918
2016-01-04,2537,981.314364207221,0.9604988,16.9544740973312,9474,0.00135173670953202
2016-01-05,2533,1395.82813109637,0.93939126,16.8552477565353,16430,0.00256579791318488
2016-01-06,2645,1552.5,0.93978584,16.9744597249509,17074,0.00275548616913673
2016-01-07,2683,1549.6729572375,0.9555,17.345914475005,22075,0.00227096038241472
2016-01-08,2610,1079.77550231839,0.95,16.6924265842349,10919,0.00148778378378378
2016-01-09,2624,1209.3857619141,0.999235,16.9444989213571,11793,0.00223803955288048
2016-01-10,2797,1043.71117219713,0.9743829,16.9644610249362,10320,0.00160226472068445
2016-01-11,2950,1058.07891129822,0.9999999,16.9179557470139,10893,0.00154144243089877
2016-01-12,2985,1093.83813387424,1.06,17.525354969574,10862,0.00167564046895354
2016-01-13,2815,1423.24590163934,1.1064508,17.2730907636945,17665,0.00290621613420608
2016-01-14,2751,1061.8974459725,1.1038284,16.9744597249509,10653,0.00184752014879107
2016-01-15,3123,1006.21931549961,1.1345934,16.9944925255704,9875,0.00171334029500065
2016-01-16,2662,967.379904875149,1.1665219,17.1224732461356,10664,0.00163992774386446
2016-01-17,2578,886.572279586974,1.1979449,17.1564733915806,9747,0.00135989315393748
2016-01-18,3050,1056.67665615142,1.32,17.0347003154574,12916,0.00223247639320998
2016-01-19,2844,1106.72586484312,1.3793404,17.3773129525342,13420,0.00260454108344909
2016-01-20,3349,958.949186184994,1.406938,17.1496625645097,10610,0.00168393928035982
2016-01-21,2900,943.536772113641,1.5607055,17.4088253072738,10734,0.00197236743371686
2016-01-22,2976,1027.37167964849,1.5470966,17.25584182145,13848,0.00249882684185828
2016-01-23,3408,905.759537337662,1.4561116,17.5324675324675,11025,0.0015435558289757
2016-01-24,3820,992.871323529412,1.9370002,16.71826625387,12798,0.00248289997274462
2016-01-25,4035,1334.9119032985,2.0726984,17.7012907191149,17121,0.00373303799167673
2016-01-26,4326,1228.32608695652,2.5419183,16.7701863354037,16511,0.00439263756252842
2016-01-27,4051,1566.13806943608,2.2470999,17.3389524382902,18747,0.00532159520938163
2016-01-28,4459,1424.15457600316,2.3204496,17.0784740067207,16765,0.00431325029334778
2016-01-29,4313,1307.50652479422,2.5,17.345914475005,16395,0.0043062767672116
2016-01-30,4335,1179.08012756627,2.5237656,17.2214470799282,14661,0.00446046360268349
2016-01-31,4390,1135.38669950739,2.5097957,17.7339901477833,14166,0.00437809179989685
2016-02-01,4194,1080.69391824526,2.3389654,17.2283150548355,14199,0.0038990599775212
2016-02-02,4161,1077.27850655903,2.2404094,17.4369323915237,14291,0.00339445752302968
2016-02-03,4325,1059.58049624928,2.3327856,16.6185804962493,14274,0.00323685166498486
2016-02-04,4077,1086.66357171079,2.423854,17.0683524298696,14371,0.00400068798057467
2016-02-05,4697,1116.85176377329,2.57,17.1224732461356,15249,0.00484636319612591
2016-02-06,3836,1677.5446160016,2.5989997,17.325045117305,31418,0.017021733456582
2016-02-07,4053,1025.98073520739,2.579995,16.9844702182033,14264,0.00696727457454915
2016-02-08,4492,1033.56734371919,2.9832356,17.0380595543285,14719,0.00559606138869574
2016-02-09,4755,1032.34302670623,3.12,17.0919881305638,15517,0.0074975443971088
2016-02-10,6029,1106.37855271115,4.1,17.4158435799234,17141,0.0107511263467189
2016-02-11,7678,1279.63937039251,4.3350854,17.2145845786013,21440,0.00754780242311277
2016-02-12,6480,1170.53407510431,6,17.1666997814425,18109,0.0084490871951998
2016-02-13,6064,1222.09149813469,5.65,16.9644610249362,19327,0.00821206952173562
