Time,avg(Block size (kB)) – Ethereum,t,v,t_lambda,avg(Fee – Transactions (USD)) – Ethereum,f(number(86400)/count()) – Ethereum,Price (ETH/USD) – Ethereum,sum(Transaction count – Blocks) – Ethereum
23.12.2015,1543.8057511737088,1450828800.0,2215.0,23.12.2015,0.0025175299929428,16.901408450704224,0.87732595,22740
24.12.2015,1292.0693503387804,1450915200.0,2234.0,24.12.2015,0.0020420724622372,17.218015145476286,0.84261394,13494
25.12.2015,1041.7507874015748,1451001600.0,2158.0,25.12.2015,0.0015233903286134,17.007874015748033,0.8555426,9521
26.12.2015,1073.805955235811,1451088000.0,2282.0,26.12.2015,0.0017199070343972,17.26618705035971,0.89470404,10726
27.12.2015,1575.2863690713432,1451174400.0,2214.0,27.12.2015,0.0027096625598654,17.218015145476286,0.855,21867
28.12.2015,1238.8886046053926,1451260800.0,2422.0,28.12.2015,0.0017456842576028,17.004526667978745,0.8588087,12368
29.12.2015,1199.6755671551898,1451347200.0,2392.0,29.12.2015,0.0017002380668967,17.34591447500502,0.86125803,11358
30.12.2015,1563.9047334924423,1451433600.0,2360.0,30.12.2015,0.0024865331618592,17.183770883054894,0.89,21767
31.12.2015,1057.3361111111112,1451520000.0,2578.0,31.12.2015,0.0014941228625712,17.142857142857142,0.935113,10301
01.01.2016,884.5981576253838,1451606400.0,2350.0,01.01.2016,0.0010768521251475,17.686796315250767,0.9145,8233
02.01.2016,953.5603532875368,1451692800.0,2410.0,02.01.2016,0.0012532240585207,16.957801766437683,0.95699966,9164
03.01.2016,955.0461628359952,1451779200.0,2454.0,03.01.2016,0.0012456403726291,16.82898324892871,0.9569946,9258
04.01.2016,981.3143642072214,1451865600.0,2537.0,04.01.2016,0.001351736709532,16.95447409733124,0.9604988,9474
05.01.2016,1395.8281310963714,1451952000.0,2533.0,05.01.2016,0.0025657979131848,16.85524775653531,0.93939126,16430
06.01.2016,1552.5,1452038400.0,2645.0,06.01.2016,0.0027554861691367,16.974459724950883,0.93978584,17074
07.01.2016,1549.6729572375025,1452124800.0,2683.0,07.01.2016,0.0022709603824147,17.34591447500502,0.9555,22075
08.01.2016,1079.775502318393,1452211200.0,2610.0,08.01.2016,0.0014877837837837,16.69242658423493,0.95,10919
09.01.2016,1209.3857619141008,1452297600.0,2624.0,09.01.2016,0.0022380395528804,16.94449892135713,0.999235,11793
10.01.2016,1043.7111721971332,1452384000.0,2797.0,10.01.2016,0.0016022647206844,16.96446102493619,0.9743829,10320
11.01.2016,1058.078911298218,1452470400.0,2950.0,11.01.2016,0.0015414424308987,16.917955747013902,0.9999999,10893
12.01.2016,1093.8381338742392,1452556800.0,2985.0,12.01.2016,0.0016756404689535,17.525354969574035,1.06,10862
13.01.2016,1423.2459016393443,1452643200.0,2815.0,13.01.2016,0.002906216134206,17.273090763694523,1.1064508,17665
