Time,Price (BTC/USD) – Bitcoin,sum(Transaction count – Blocks) – Bitcoin,avg(Block size (kB)) – Bitcoin,f(number(86400)/count()) – Bitcoin,avg(Fee – Transactions (USD)) – Bitcoin
24.05.2009,0.01,100.0,215.9,864.0,0.0
25.05.2009,0.01,109.0,215.954128440367,792.6605504587156,0.0
26.05.2009,0.01,125.0,215.904,691.2,0.0
27.05.2009,0.01,119.0,215.7310924369748,726.0504201680673,0.0
28.05.2009,0.01,95.0,215.8842105263158,909.4736842105264,0.0
29.05.2009,0.01,107.0,280.83962264150944,815.0943396226415,0.0
30.05.2009,0.01,109.0,215.7155963302752,792.6605504587156,0.0
31.05.2009,0.01,96.0,216.0,900.0,0.0
01.06.2009,0.01,72.0,219.83098591549296,1216.901408450704,0.0
02.06.2009,0.01,111.0,215.9099099099099,778.3783783783783,0.0
03.06.2009,0.01,71.0,216.0,1216.901408450704,0.0
04.06.2009,0.01,66.0,215.93939393939397,1309.090909090909,0.0
05.06.2009,0.01,30.0,215.9,2880.0,0.0
06.06.2009,0.01,28.0,215.28571428571428,3085.714285714286,0.0
07.06.2009,0.01,16.0,215.9375,5400.0,0.0
08.06.2009,0.01,82.0,215.76829268292684,1053.658536585366,0.0
09.06.2009,0.01,91.0,215.8021978021978,949.4505494505496,0.0
10.06.2009,0.01,82.0,215.9268292682927,1053.658536585366,0.0
11.06.2009,0.01,89.0,215.96629213483143,970.7865168539324,0.0
12.06.2009,0.01,86.0,215.86046511627907,1004.6511627906976,0.0
13.06.2009,0.01,78.0,215.448717948718,1107.6923076923076,0.0
14.06.2009,0.01,72.0,215.69444444444449,1200.0,0.0
15.06.2009,0.01,84.0,215.95238095238096,1028.571428571429,0.0
16.06.2009,0.01,71.0,215.7323943661972,1216.901408450704,0.0
17.06.2009,0.01,79.0,215.6455696202532,1093.6708860759493,0.0
18.06.2009,0.01,80.0,215.8125,1080.0,0.0
19.06.2009,0.01,87.0,215.67816091954023,993.103448275862,0.0
20.06.2009,0.01,78.0,215.7692307692308,1107.6923076923076,0.0
21.06.2009,0.01,81.0,215.76543209876544,1066.6666666666667,0.0
22.06.2009,0.01,77.0,306.38157894736844,1136.842105263158,0.0
23.06.2009,0.01,76.0,215.56578947368425,1136.842105263158,0.0
24.06.2009,0.01,97.0,221.57894736842104,909.4736842105264,0.0
25.06.2009,0.01,69.0,249.75,1270.5882352941176,0.0
26.06.2009,0.01,90.0,215.6,960.0,0.0
27.06.2009,0.01,84.0,215.83333333333331,1028.571428571429,0.0
28.06.2009,0.01,47.0,220.7391304347826,1878.2608695652173,0.0
29.06.2009,0.01,84.0,218.72289156626505,1040.9638554216867,0.0
30.06.2009,0.01,86.0,221.04705882352943,1016.470588235294,0.0
01.07.2009,0.01,75.0,219.4324324324324,1167.5675675675675,0.0
02.07.2009,0.01,84.0,218.6144578313253,1040.9638554216867,0.0
03.07.2009,0.01,82.0,215.97560975609755,1053.658536585366,0.0
04.07.2009,0.01,89.0,215.87640449438203,970.7865168539324,0.0
05.07.2009,0.01,79.0,215.9873417721519,1093.6708860759493,0.0
06.07.2009,0.01,84.0,215.97619047619048,1028.571428571429,0.0
07.07.2009,0.01,69.0,215.94202898550725,1252.1739130434785,0.0
08.07.2009,0.01,74.0,215.98648648648648,1167.5675675675675,0.0
09.07.2009,0.01,86.0,215.72093023255812,1004.6511627906976,0.0
10.07.2009,0.01,81.0,215.8641975308642,1066.6666666666667,0.0
11.07.2009,0.01,83.0,215.9879518072289,1040.9638554216867,0.0
12.07.2009,0.01,77.0,215.7922077922078,1122.077922077922,0.0
13.07.2009,0.01,78.0,215.9102564102564,1107.6923076923076,0.0
14.07.2009,0.01,69.0,215.95652173913044,1252.1739130434785,0.0
15.07.2009,0.01,45.0,215.9777777777778,1920.0,0.0
16.07.2009,0.01,71.0,215.85915492957747,1216.901408450704,0.0
17.07.2009,0.01,47.0,215.80851063829783,1838.2978723404256,0.0
18.07.2009,0.01,4.0,215.0,21600.0,0.0
