"Date","active_addr","avg.Block.size..kB.....Bitcoin","Price..BTC.USD....Bitcoin","f.number.86400..count......Bitcoin","sum.Transaction.count...Blocks....Bitcoin","avg.Fee...Transactions..USD.....Bitcoin"
2009-09-05,0,215.842105263158,0.01,1136.84210526316,76,0
2009-09-06,0,215.852941176471,0.01,1270.58823529412,68,0
2009-09-07,14,235.435897435897,0.01,1107.69230769231,79,0
2009-09-08,0,215.768115942029,0.01,1252.17391304348,69,0
2009-09-09,0,215.796296296296,0.01,1600,54,0
2009-09-10,0,215.805970149254,0.01,1289.55223880597,67,0
2009-09-11,0,215.820895522388,0.01,1289.55223880597,67,0
2009-09-12,0,215.884057971014,0.01,1252.17391304348,69,0
2009-09-13,0,215.84,0.01,1152,75,0
2009-09-14,0,215.851351351351,0.01,1167.56756756757,74,0
2009-09-15,0,215.863636363636,0.01,1963.63636363636,44,0
2009-09-16,2,218.875,0.01,1200,73,0
2009-09-17,102,354.22619047619,0.01,1028.57142857143,85,1.41176470588235e-05
2009-09-18,0,215.807692307692,0.01,1107.69230769231,78,0
2009-09-19,0,215.959459459459,0.01,1167.56756756757,74,0
2009-09-20,0,215.987179487179,0.01,1107.69230769231,78,0
2009-09-21,9,229.753623188406,0.01,1252.17391304348,70,0
2009-09-22,41,399.84,0.01,3456,26,0
2009-09-23,0,215.722222222222,0.01,2400,36,0
2009-09-24,0,215.505154639175,0.01,890.721649484536,97,0
2009-09-25,28,249.318681318681,0.01,949.450549450549,93,0
2009-09-26,0,215.46,0.01,864,100,0
2009-09-27,17,237.379310344828,0.01,993.103448275862,88,0
2009-09-28,0,215.929411764706,0.01,1016.47058823529,85,0
2009-09-29,45,272.613636363636,0.01,981.818181818182,90,0
2009-09-30,0,215.764705882353,0.01,1016.47058823529,85,0
2009-10-01,0,215.890243902439,0.01,1053.65853658537,82,0
2009-10-02,11,232.222222222222,0.01,1200,73,0
2009-10-03,0,215.413793103448,0.01,1489.65517241379,58,0
2009-10-04,0,215.679245283019,0.01,1630.18867924528,53,0
2009-10-05,0,215.763636363636,0.01,1570.90909090909,55,0
2009-10-06,15,259.116279069767,0.01,2009.3023255814,45,0
2009-10-07,0,215.716666666667,0.01,1440,60,0
2009-10-08,0,215.471428571429,0.01,1234.28571428571,70,0
2009-10-09,0,215.658227848101,0.01,1093.67088607595,79,0
2009-10-10,0,215.818181818182,0.01,1122.07792207792,77,0
2009-10-11,0,215.756756756757,0.01,1167.56756756757,74,0
2009-10-12,74,364.379310344828,0.01,1489.65517241379,59,0
