Time	sum(Transaction count – Blocks) – Ethereum
07.10.2016	43708
08.10.2016	37690
09.10.2016	43940
10.10.2016	44940
11.10.2016	41053
12.10.2016	30002
13.10.2016	32244
14.10.2016	42006
15.10.2016	33662
16.10.2016	34990
17.10.2016	38136
18.10.2016	51898
19.10.2016	38497
20.10.2016	43438
21.10.2016	57780
22.10.2016	37772
23.10.2016	35364
24.10.2016	52547
25.10.2016	47610
26.10.2016	45158
27.10.2016	44353
28.10.2016	41522
29.10.2016	40011
30.10.2016	39435
31.10.2016	45031
01.11.2016	49025
02.11.2016	43519
03.11.2016	42346
04.11.2016	32572
05.11.2016	37690
06.11.2016	34391
07.11.2016	41941
08.11.2016	41569
09.11.2016	40517
10.11.2016	40164
11.11.2016	41070
12.11.2016	40882
13.11.2016	43673
14.11.2016	43876
15.11.2016	45330
16.11.2016	41684
17.11.2016	40738
18.11.2016	43785
19.11.2016	39289
20.11.2016	42125
21.11.2016	42735
22.11.2016	53585
23.11.2016	64289
24.11.2016	36861
25.11.2016	58075
26.11.2016	40804
27.11.2016	44449
28.11.2016	48388
29.11.2016	47036
30.11.2016	39178
01.12.2016	37121
02.12.2016	41642
03.12.2016	41357
04.12.2016	39643
05.12.2016	41613
06.12.2016	48200
07.12.2016	41757
08.12.2016	39587
09.12.2016	41444
10.12.2016	40564
11.12.2016	39164
12.12.2016	38741
13.12.2016	44664
14.12.2016	47294
15.12.2016	46102
16.12.2016	43953
17.12.2016	39442
18.12.2016	36640
19.12.2016	45599
20.12.2016	44241
21.12.2016	50793
22.12.2016	55173
23.12.2016	44391
24.12.2016	37757
25.12.2016	36601
26.12.2016	34565
27.12.2016	42370
28.12.2016	43386
29.12.2016	46546
30.12.2016	44561
31.12.2016	41220
01.01.2017	38730
02.01.2017	39652
03.01.2017	45883
04.01.2017	50673
05.01.2017	49596
06.01.2017	43804
07.01.2017	43622
08.01.2017	42727
09.01.2017	46188
10.01.2017	48179
11.01.2017	45221
12.01.2017	50589
13.01.2017	50833
14.01.2017	42044
15.01.2017	41748
16.01.2017	45375
17.01.2017	46671
18.01.2017	44994
19.01.2017	43628
20.01.2017	45775
21.01.2017	43302
22.01.2017	47432
23.01.2017	46076
24.01.2017	50414
25.01.2017	46256
26.01.2017	46856
27.01.2017	46680
28.01.2017	45189
29.01.2017	42509
30.01.2017	45369
31.01.2017	43649
01.02.2017	44541
02.02.2017	43709
03.02.2017	42778
04.02.2017	45410
05.02.2017	46542
06.02.2017	47306
07.02.2017	51866
08.02.2017	51089
09.02.2017	47873
10.02.2017	52222
11.02.2017	46560
12.02.2017	45319
13.02.2017	55990
14.02.2017	58298
15.02.2017	55320
16.02.2017	49674
17.02.2017	49406
18.02.2017	49398
19.02.2017	48227
20.02.2017	50152
21.02.2017	58434
22.02.2017	50372
23.02.2017	47601
24.02.2017	54081
25.02.2017	53245
26.02.2017	51716
27.02.2017	52642
28.02.2017	60277
01.03.2017	59774
02.03.2017	70779
03.03.2017	64294
04.03.2017	58756
05.03.2017	57031
06.03.2017	57020
07.03.2017	62589
08.03.2017	55386
09.03.2017	64266
10.03.2017	65132
11.03.2017	64803
12.03.2017	66646
13.03.2017	81718
14.03.2017	77155
15.03.2017	81205
16.03.2017	109950
17.03.2017	106635
18.03.2017	89920
19.03.2017	84599
20.03.2017	80264
21.03.2017	84298
22.03.2017	78821
23.03.2017	82434
24.03.2017	87775
25.03.2017	84394
26.03.2017	79534
27.03.2017	94570
28.03.2017	84348
29.03.2017	93064
30.03.2017	96209
31.03.2017	103102
01.04.2017	80572
02.04.2017	88948
03.04.2017	100221
04.04.2017	86279
05.04.2017	87411
06.04.2017	95177
07.04.2017	92846
08.04.2017	72144
09.04.2017	74557
10.04.2017	75487
11.04.2017	75891
12.04.2017	80347
13.04.2017	84124
14.04.2017	81155
15.04.2017	74820
16.04.2017	70634
17.04.2017	72546
18.04.2017	83303
19.04.2017	85734
20.04.2017	85450
21.04.2017	81278
22.04.2017	73539
23.04.2017	77073
24.04.2017	80531
25.04.2017	93033
26.04.2017	89642
27.04.2017	104494
28.04.2017	106193
29.04.2017	91335
30.04.2017	95202
01.05.2017	112202
02.05.2017	110354
03.05.2017	97334
04.05.2017	114877
05.05.2017	108514
06.05.2017	95014
07.05.2017	106631
08.05.2017	117509
09.05.2017	112933
10.05.2017	109673
11.05.2017	117189
12.05.2017	107241
13.05.2017	101332
14.05.2017	101348
15.05.2017	122792
16.05.2017	116341
17.05.2017	140135
18.05.2017	137409
19.05.2017	161568
20.05.2017	130912
21.05.2017	149699
22.05.2017	176255
23.05.2017	187121
24.05.2017	187293
25.05.2017	183010
26.05.2017	169818
27.05.2017	149450
28.05.2017	155271
29.05.2017	158547
30.05.2017	193618
31.05.2017	214126
01.06.2017	199160
02.06.2017	194911
03.06.2017	175666
04.06.2017	180136
05.06.2017	190305
06.06.2017	200523
07.06.2017	207180
08.06.2017	187700
09.06.2017	215831
10.06.2017	213356
11.06.2017	240490
12.06.2017	292941
13.06.2017	280054
14.06.2017	250410
15.06.2017	261617
16.06.2017	248003
17.06.2017	242022
18.06.2017	245957
19.06.2017	286209
20.06.2017	308488
21.06.2017	221289
22.06.2017	284225
23.06.2017	276012
24.06.2017	250570
25.06.2017	231135
26.06.2017	316788
27.06.2017	252995
28.06.2017	274241
29.06.2017	263791
30.06.2017	252652
01.07.2017	240465
02.07.2017	248617
03.07.2017	302032
04.07.2017	281465
05.07.2017	271606
06.07.2017	258791
07.07.2017	295389
08.07.2017	248142
09.07.2017	225189
10.07.2017	302633
11.07.2017	291677
12.07.2017	283828
13.07.2017	260745
14.07.2017	249381
15.07.2017	231961
16.07.2017	249138
17.07.2017	248473
18.07.2017	271055
19.07.2017	270122
20.07.2017	250065
21.07.2017	232560
22.07.2017	205574
23.07.2017	260490
24.07.2017	263095
25.07.2017	242956
26.07.2017	223010
27.07.2017	225435
28.07.2017	246494
29.07.2017	198773
30.07.2017	206624
31.07.2017	250090
01.08.2017	218582
02.08.2017	231068
03.08.2017	236335
04.08.2017	257160
05.08.2017	261400
06.08.2017	265127
07.08.2017	281172
08.08.2017	318866
09.08.2017	280308
10.08.2017	338241
11.08.2017	356682
12.08.2017	338654
13.08.2017	333011
14.08.2017	410061
15.08.2017	413246
16.08.2017	413624
17.08.2017	428007
18.08.2017	443356
19.08.2017	377418
20.08.2017	309926
21.08.2017	392880
22.08.2017	364727
23.08.2017	374711
24.08.2017	352465
25.08.2017	352621
26.08.2017	306268
27.08.2017	324173
28.08.2017	363799
29.08.2017	394649
30.08.2017	400220
31.08.2017	384421
01.09.2017	390997
02.09.2017	331797
03.09.2017	302525
04.09.2017	442592
05.09.2017	444572
06.09.2017	496376
07.09.2017	448347
08.09.2017	463670
09.09.2017	383654
10.09.2017	325128
11.09.2017	365384
12.09.2017	404898
13.09.2017	365679
14.09.2017	380251
15.09.2017	441767
16.09.2017	373764
17.09.2017	289517
18.09.2017	362764
19.09.2017	337752
20.09.2017	324984
21.09.2017	317074
22.09.2017	271470
23.09.2017	260107
24.09.2017	280929
25.09.2017	306614
26.09.2017	306075
27.09.2017	309047
28.09.2017	329208
29.09.2017	326502
30.09.2017	295798
01.10.2017	283871
02.10.2017	306095
03.10.2017	327906
04.10.2017	307399
05.10.2017	314808
06.10.2017	319882
07.10.2017	291091
08.10.2017	296829
09.10.2017	328172
10.10.2017	349605
11.10.2017	344305
12.10.2017	363411
13.10.2017	379136
14.10.2017	332169
15.10.2017	328921
16.10.2017	408297
17.10.2017	505611
18.10.2017	470449
19.10.2017	494184
20.10.2017	546837
21.10.2017	462902
