Time	avg(Fee – Transactions (USD)) – Ethereum
14.01.2016	0.0018475201487910724
15.01.2016	0.0017133402950006526
16.01.2016	0.0016399277438644575
17.01.2016	0.0013598931539374752
18.01.2016	0.0022324763932099778
19.01.2016	0.0026045410834490868
20.01.2016	0.0016839392803598202
21.01.2016	0.0019723674337168585
22.01.2016	0.0024988268418582823
23.01.2016	0.0015435558289756998
24.01.2016	0.002482899972744617
25.01.2016	0.003733037991676735
26.01.2016	0.004392637562528422
27.01.2016	0.005321595209381628
28.01.2016	0.004313250293347775
29.01.2016	0.0043062767672116045
30.01.2016	0.004460463602683489
31.01.2016	0.004378091799896854
01.02.2016	0.003899059977521202
02.02.2016	0.0033944575230296825
03.02.2016	0.003236851664984864
04.02.2016	0.004000687980574667
05.02.2016	0.004846363196125908
06.02.2016	0.017021733456582023
