Time	avg(Block size (kB)) – Ethereum
02.04.2021	46588.04229934924
03.04.2021	45586.01011184311
04.04.2021	43018.84301173602
05.04.2021	44881.58248847926
06.04.2021	46990.89881227827
07.04.2021	46174.25883432767
08.04.2021	45249.56096049574
09.04.2021	46153.71054669351
10.04.2021	44570.19416590702
11.04.2021	43197.9019248396
12.04.2021	45664.39502762431
13.04.2021	46473.22258263824
14.04.2021	48036.605675298495
15.04.2021	44715.024
16.04.2021	46856.93673247319
17.04.2021	48014.01515385805
18.04.2021	48582.73050299954
19.04.2021	48416.6453125
20.04.2021	49161.56808510638
21.04.2021	52544.29283632459
22.04.2021	56893.59591709522
23.04.2021	55991.08604651163
24.04.2021	48459.88307692308
25.04.2021	49202.52326293235
26.04.2021	52204.202750734046
27.04.2021	52210.777897657215
28.04.2021	54553.26999845273
29.04.2021	55085.837291795186
30.04.2021	53690.2026042474
01.05.2021	53101.39898289413
02.05.2021	54312.48239326893
03.05.2021	54917.802213001385
04.05.2021	57865.361623616234
05.05.2021	55406.564590365146
06.05.2021	55789.24992267244
07.05.2021	55721.981386691485
08.05.2021	59432.17345050879
09.05.2021	58785.67320160543
10.05.2021	58272.6203774743
11.05.2021	56531.42996742671
12.05.2021	57010.957757415745
13.05.2021	57095.54527378403
14.05.2021	54076.85517986722
15.05.2021	53430.36623416744
16.05.2021	53555.852585939916
17.05.2021	55661.000311575015
18.05.2021	54857.20470369797
19.05.2021	62116.3717888837
20.05.2021	57867.19093300325
21.05.2021	56421.23478939157
22.05.2021	52669.56592386258
23.05.2021	55384.85388906105
24.05.2021	55579.01587790967
25.05.2021	54993.295908807
26.05.2021	55919.171046493546
27.05.2021	53159.60715953307
28.05.2021	54531.546185981744
29.05.2021	51466.62146281119
30.05.2021	51137.876889512234
31.05.2021	51252.24708080336
01.06.2021	51712.9459709787
02.06.2021	52376.19643406087
03.06.2021	53099.50256649557
04.06.2021	52497.99677864703
05.06.2021	48258.08470624806
06.06.2021	45406.673453766074
07.06.2021	51535.17633338516
08.06.2021	53945.83135135135
09.06.2021	53020.739474910675
10.06.2021	52406.69498607242
11.06.2021	53208.692128912306
12.06.2021	49961.17360895244
13.06.2021	50356.13270508265
14.06.2021	52525.68853988493
15.06.2021	52982.6479631053
16.06.2021	54570.23269260822
17.06.2021	54363.077719406676
18.06.2021	54185.44309133489
19.06.2021	48083.24229691877
20.06.2021	50499.7466378111
21.06.2021	58114.87571247625
22.06.2021	58297.0942985863
23.06.2021	55362.3810857054
24.06.2021	53727.26004985977
25.06.2021	56446.36518448439
26.06.2021	52161.04683367045
27.06.2021	52183.361197270475
28.06.2021	57703.223940612435
29.06.2021	55115.94864189822
30.06.2021	54973.42525174283
01.07.2021	54672.25858267717
02.07.2021	52887.842783905544
03.07.2021	51333.3760324139
04.07.2021	52285.70284917931
05.07.2021	53362.71350677676
06.07.2021	54750.07346303502
07.07.2021	54618.491392801254
08.07.2021	54011.34821705426
09.07.2021	55491.98563846394
10.07.2021	52603.25515743757
11.07.2021	51554.56001868286
12.07.2021	53547.33416967226
13.07.2021	55706.65546218488
14.07.2021	58508.395461658845
15.07.2021	60783.862766454025
16.07.2021	58138.892254298786
17.07.2021	58079.58140632374
18.07.2021	59463.266363208284
19.07.2021	63603.754467754465
20.07.2021	63047.63685123836
21.07.2021	61701.4349859682
22.07.2021	59060.353783867955
23.07.2021	60063.59202647337
24.07.2021	60022.56032213102
25.07.2021	60410.23652554288
26.07.2021	62069.70984537709
27.07.2021	61884.26891827306
28.07.2021	62465.42870767764
29.07.2021	59286.75424795469
30.07.2021	59157.04196585288
31.07.2021	60109.041282946964
01.08.2021	64845.92667089008
02.08.2021	65173.50578486554
03.08.2021	65621.33186259061
04.08.2021	70127.97706422018
05.08.2021	71396.598676957
06.08.2021	73362.35265850255
07.08.2021	69407.69812185067
08.08.2021	72062.3077278325
09.08.2021	74105.13420445811
10.08.2021	77706.66036575995
11.08.2021	74202.643180753
12.08.2021	72469.66697388633
13.08.2021	78084.39496447328
14.08.2021	78111.65123076923
15.08.2021	74784.5906542056
16.08.2021	71481.68769230769
17.08.2021	72395.18554327809
18.08.2021	68426.34536646352
19.08.2021	68754.238385377
20.08.2021	67678.84022294472
21.08.2021	71427.68263100607
22.08.2021	78148.84220211624
23.08.2021	80990.5389296302
24.08.2021	91843.776309725
25.08.2021	85143.65149867992
26.08.2021	84562.64083640836
27.08.2021	82066.29902037008
28.08.2021	83726.0520123839
29.08.2021	84515.8910463862
30.08.2021	86918.12901730531
31.08.2021	81212.41843861555
01.09.2021	77894.39271882262
02.09.2021	73326.21800947867
03.09.2021	72030.84840548452
04.09.2021	74381.49167833256
05.09.2021	72251.13309848368
06.09.2021	73325.06208391392
07.09.2021	76559.36559139784
08.09.2021	67791.95103926097
09.09.2021	72831.36606866687
10.09.2021	72270.2867316922
11.09.2021	76405.59896810507
12.09.2021	80368.727286632
13.09.2021	76076.57189644416
14.09.2021	78371.60393127998
15.09.2021	77512.0424542919
16.09.2021	84901.41897720272
17.09.2021	79592.14860058759
18.09.2021	77765.82963881569
19.09.2021	82860.65596189305
20.09.2021	86584.53575870646
21.09.2021	84717.6585591133
22.09.2021	84006.11542644088
23.09.2021	82224.7214163157
24.09.2021	87100.43268783888
25.09.2021	82294.97215883159
26.09.2021	85681.3350515464
27.09.2021	86369.31437867989
28.09.2021	89476.6560239069
29.09.2021	87284.77604491578
30.09.2021	82912.94367308299
01.10.2021	81217.0397841172
02.10.2021	81231.26784596118
03.10.2021	90622.88338833883
04.10.2021	90094.04147031103
05.10.2021	91693.41023241304
06.10.2021	86861.39225143925
07.10.2021	81743.51992409867
08.10.2021	81846.94810659187
09.10.2021	77828.60292959522
10.10.2021	75463.78901960784
11.10.2021	77155.75211532434
12.10.2021	78523.13521171101
13.10.2021	79415.49493670886
14.10.2021	72693.93080568721
15.10.2021	77339.6962646407
16.10.2021	67969.6578581363
17.10.2021	70980.99232576351
18.10.2021	70434.7042431919
19.10.2021	70772.43059006211
20.10.2021	70098.34435001574
21.10.2021	72322.86819793432
22.10.2021	73170.73982218062
23.10.2021	72291.79505356017
24.10.2021	71576.06431828903
25.10.2021	71494.1389841072
26.10.2021	69812.71141253508
27.10.2021	69414.24349881797
28.10.2021	67421.64216604245
29.10.2021	64129.09689070352
30.10.2021	62412.12214342001
31.10.2021	63743.487573215134
01.11.2021	65442.148684415384
02.11.2021	65874.3449587825
03.11.2021	65289.97024275646
04.11.2021	64493.94699140401
05.11.2021	63036.368600682596
06.11.2021	62972.41457643161
07.11.2021	63388.70478847048
08.11.2021	63552.848566025845
09.11.2021	67095.69664155682
10.11.2021	68128.9451582576
11.11.2021	64004.11752706731
12.11.2021	61834.19311633702
13.11.2021	64644.17846980714
14.11.2021	64874.472340425535
15.11.2021	68317.64408925462
16.11.2021	71564.42740645987
17.11.2021	70782.96463223787
18.11.2021	68397.07046453233
19.11.2021	69999.70314505776
20.11.2021	67221.01636219221
21.11.2021	72737.21552409734
22.11.2021	73137.44856290247
23.11.2021	72569.0695693327
24.11.2021	72979.33296319797
25.11.2021	69642.50245914643
26.11.2021	71696.70070762304
27.11.2021	70858.95709364234
28.11.2021	71614.50719309463
29.11.2021	71807.72160463993
30.11.2021	70185.83351973159
01.12.2021	68926.43530543531
02.12.2021	69737.774415626
03.12.2021	66293.03956148714
04.12.2021	70232.10150558523
05.12.2021	69488.43962748875
06.12.2021	67603.32791327914
07.12.2021	65338.15049473348
08.12.2021	69760.51164658634
09.12.2021	68557
10.12.2021	67807.10129142679
11.12.2021	67005.39651718292
12.12.2021	66346.28851755327
13.12.2021	72438.93956213383
14.12.2021	71391.6230636833
15.12.2021	69995.6835443038
16.12.2021	64165.93809598249
17.12.2021	73508.82733034472
18.12.2021	75494.77197295635
19.12.2021	67942.74031608304
20.12.2021	69853.04155844156
21.12.2021	68846.24790437752
22.12.2021	68696.83395580454
23.12.2021	72290.77131722526
24.12.2021	72147.36502782932
25.12.2021	72236.17708978328
26.12.2021	71563.17952682852
27.12.2021	78825.20457001698
28.12.2021	79688.72493014592
29.12.2021	83473.78493633993
30.12.2021	80678.8095460199
31.12.2021	79151.92616397554
01.01.2022	78274.81048263142
02.01.2022	85060.02617397999
03.01.2022	87429.39219934994
04.01.2022	83141.69525716045
05.01.2022	87221.07352941176
06.01.2022	84717.31382978724
07.01.2022	86750.19663708548
08.01.2022	90911.86642156863
09.01.2022	98885.9240817581
10.01.2022	94963.14390168015
11.01.2022	94160.72038567493
12.01.2022	85423.91273402444
13.01.2022	89653
14.01.2022	90612.0063585608
15.01.2022	90408.25184956843
16.01.2022	90868.09683369198
17.01.2022	92036.44947466007
18.01.2022	91082.22919888649
19.01.2022	87189.5894980695
20.01.2022	80056.3654853621
21.01.2022	88114.2795244799
22.01.2022	86842.41717510678
23.01.2022	81407.18711276332
24.01.2022	87441.9978291208
25.01.2022	89302.59551083592
26.01.2022	90534.26762097402
27.01.2022	93639.1932553126
28.01.2022	86016.53947165147
29.01.2022	88540.07289893205
30.01.2022	90449.74036697247
31.01.2022	86305.31250966445
01.02.2022	90122.8740387573
02.02.2022	93110.08179705654
03.02.2022	88579.90535491906
04.02.2022	85059.57295319409
05.02.2022	83069.34397995929
06.02.2022	80035.73937633751
07.02.2022	87933.4807424594
08.02.2022	85709.83825816485
09.02.2022	86954.40836807164
10.02.2022	90584.311898105
11.02.2022	90687.53389570552
12.02.2022	84500.07989491578
13.02.2022	87651.24729520865
14.02.2022	88983.35219345838
15.02.2022	92113.5291411043
16.02.2022	95430.44673217907
17.02.2022	99672.64746757258
18.02.2022	98782.95761919601
19.02.2022	101752.20430778836
20.02.2022	102348.90595274624
21.02.2022	119117.58392912651
22.02.2022	100336.92356490793
23.02.2022	98861.741174657
24.02.2022	95329.82081727062
25.02.2022	98881.46765163296
26.02.2022	93369.91996904025
27.02.2022	90823.32120838472
28.02.2022	89598.66625155666
01.03.2022	90397.90885296382
02.03.2022	95788.4537788882
03.03.2022	95380.26518908865
04.03.2022	86098.19178082192
05.03.2022	79961.46769134254
06.03.2022	81129.1158698022
07.03.2022	85396.36931906313
08.03.2022	87321.14330413016
09.03.2022	87457.8348186847
10.03.2022	86476.5337962963
11.03.2022	89830.54983414942
12.03.2022	85188.70241204486
13.03.2022	86475.45661450924
14.03.2022	88667.82099721277
15.03.2022	88740.1273805807
16.03.2022	88594.31121890158
17.03.2022	82978.87599190914
18.03.2022	83297.16110937987
19.03.2022	80792.23833152426
20.03.2022	87035.75381263616
21.03.2022	86140.14858748244
22.03.2022	87874.9385665529
23.03.2022	89309.5402173913
24.03.2022	86000.29031755915
25.03.2022	85756.6572762646
26.03.2022	80057.53792134831
27.03.2022	82095.82267396404
28.03.2022	83044.2435441472
29.03.2022	82975.68381897087
